Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
3539,Male,(d)no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",
3540,Male,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",
3541,Female,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Cooking,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher)
3542,Male,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(b)Did not want to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",
3543,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(b)no,,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",
3544,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
3545,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3546,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3547,Female,(d)no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",
3548,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
3549,Female,(d)no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",
3550,Female,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(a) yes,Waste material make house decoration,,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",
3551,Female,(d)no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",
3552,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(a) yes,Waste material,,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
3553,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3554,Female,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(a) yes,Decorate waste material,,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",
3555,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Natural toothpaste,,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",
3556,Male,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Create app,,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3557,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(a) yes,Decoration with waste material,,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
3558,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",
3559,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3560,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,(a) yes,Youtube,,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",
3561,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,(a) yes,Tea Stol,,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3562,Female,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",
3563,Male,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(c)yes, once or twice",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
3564,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
3565,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(a) yes,Davinder singa,,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",
3566,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,(d) no,(b)Did not want to,(a) yes,business blaster,,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
3567,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3568,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,(a) yes,Waste material,,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",
3569,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3570,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(b)no,,(b)Did not want to,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",
3571,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Mehndi lgaona,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3572,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Waste material,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
3573,Male,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3574,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
3575,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to
3576,Male,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(a) yes,Sale,,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",
